Latitude,Longitude,Sum_INCENDIE_count,Sum_Infractions_entrainant_count,Sum_ALARMES_INCENDIES_count,Sum_total_crimes,Population,Dwellings,Households,Average age,median income,sum_etage_hors_sol,sum_nombre_logement,avg_annee_construction,sum_superficie_terrain,sum_superficie_batiment
45.5,-73.57,59,2,1445,2200,2492,2596,1510,35.7,33856,5020,4539,2007.281499,479667,2387611
45.5,-73.58,81,2,1549,1803,506,384,293,52.6,61696,3663,9186,1975.967309,389866,2635170
45.5,-73.59,6,0,206,381,885,506,434,43.7,39680,472,1101,1954.966667,111488,1020453
45.5,-73.6,2,0,79,19,5,4,3,,,256,310,1943.625,1337906,114948
45.5,-73.61,12,0,165,162,5,4,3,,,129,613,2005.105263,33068,48550
45.5,-73.62,30,0,549,628,482,259,229,43.4,43904,1396,3890,1968.622817,310770,758777
45.5,-73.63,49,0,615,665,651,414,370,36.4,20448,1948,6400,1958.607805,461612,772076
45.5,-73.64,30,1,292,561,537,184,176,35.1,23040,1553,4362,1952.357527,598995,456390
45.5,-73.65,25,0,340,306,1705,773,741,33,25984,2564,3426,2001.117419,510772,262326
45.5,-73.66,16,0,251,242,1012,519,481,38.2,24032,848,1313,1991.956944,435851,298025
45.5,-73.67,3,0,40,102,1056,531,486,37,37077,45,12,1955.255814,433932,144420
45.5,-73.68,27,0,170,359,539,192,175,39.7,27861,1660,2487,1972.372441,470542,253067
45.5,-73.69,8,0,113,166,508,155,155,39.9,49152,1361,963,1964.41455,525772,211422
45.5,-73.7,16,0,169,331,935,355,346,44.9,32256,1409,2887,1987.627595,542103,1314480
45.5,-73.71,3,0,59,133,535,242,228,39.1,43072,15,0,1977.375,456632,84964
45.5,-73.72,0,0,48,51,1049,362,354,34.1,50560,218,100,2003.487179,387648,79729
45.5,-73.73,3,0,94,59,1049,362,354,34.1,50560,805,389,1999.37133,720798,611970
45.5,-73.74,3,0,70,33,1049,362,354,34.1,50560,66,14,1984.546667,558009,239009
45.5,-73.75,2,0,69,73,1049,362,354,34.1,50560,64,1,1981.980392,449902,132825
45.5,-73.76,3,0,48,12,1049,362,354,34.1,50560,34,4,1995.714286,487434,71254
45.5,-73.77,6,0,74,53,1049,362,354,34.1,50560,447,933,1970.167401,307919,60929
45.5,-73.78,12,0,160,138,1116,493,484,41.3,34560,1009,1220,1981.486111,350997,202077
45.5,-73.79,19,0,84,180,292,97,94,38.1,27328,2501,1942,1974.761765,536506,235365
45.5,-73.8,6,0,27,52,1153,404,389,40.2,42859,1024,751,1968.057181,522787,100198
45.5,-73.81,10,0,93,94,421,148,144,42.5,34560,1012,1036,1966.995633,558573,127636
45.5,-73.82,14,0,49,111,490,165,162,43.4,32448,1499,981,1962.4511,545468,164973
45.5,-73.83,9,0,101,106,487,158,158,39.7,36544,1861,1167,1974.513823,597552,213814
45.5,-73.84,7,0,68,90,481,176,176,44.3,31936,1435,1073,1971.621822,586369,133328
45.5,-73.85,9,0,73,94,689,243,237,42.7,26112,1368,1588,1982.108581,568729,187086
45.5,-73.86,1,0,15,17,,,,,,452,283,1979.299639,282548,43816
45.5,-73.87,4,0,32,37,489,161,161,38.6,42624,1451,837,1985.756627,539013,136537
45.5,-73.88,3,0,37,24,1081,377,366,40.4,42752,1001,554,1990.084381,380885,95813
45.5,-73.89,0,0,2,1,1081,377,366,40.4,42752,68,39,1984.690476,3790377,9531
45.5,-73.9,0,0,3,7,1114,419,402,36.9,39488,94,48,1991.625,72521,16577
45.5,-73.91,1,0,22,4,1114,419,402,36.9,39488,162,92,1986.043478,156508,28408
45.5,-73.92,1,0,3,4,506,297,254,48,33280,58,33,1977.515152,168845,7895
45.51,-73.53,2,0,17,149,,,,,,,,,,
45.51,-73.54,0,0,11,6,,,,,,,,,,
45.51,-73.55,23,0,533,805,822,531,458,53,68032,2268,2334,1979.107896,178408,2599326
45.51,-73.56,59,3,1135,2507,1302,761,627,44.2,22112,2721,4703,1986.922283,343077,1629908
45.51,-73.57,68,1,1443,2524,699,496,396,37.8,33792,3806,9499,1964.971605,406491,2625182
45.51,-73.58,27,0,910,727,885,506,434,43.7,39680,1328,4638,1911.808717,214144,917223
45.51,-73.59,0,0,19,43,885,506,434,43.7,39680,18,14,1919,4890,2556
45.51,-73.6,3,0,46,61,234,79,74,40,,324,173,1945.91018,130664,46952
45.51,-73.61,4,0,173,128,234,79,74,40,,868,1089,1949.010917,858412,231768
45.51,-73.62,29,0,371,383,452,266,238,54.3,35104,2671,3945,1963.544885,532925,1506631
45.51,-73.63,78,2,703,590,1102,622,548,31.4,18528,2118,6026,1967.044524,466203,1070852
45.51,-73.64,6,0,157,100,586,258,243,40.7,41088,1128,1255,1949.155594,441980,197994
45.51,-73.65,5,0,159,26,475,152,148,40.4,79104,1483,1031,1947.187179,518765,193259
45.51,-73.66,4,0,103,119,564,224,192,37.6,31168,1313,978,1963.224242,496491,141429
45.51,-73.67,6,0,77,162,903,407,391,37.5,25344,999,1549,1984.499368,387337,174263
45.51,-73.68,16,1,193,422,448,177,174,40.9,38272,1879,2144,1957.063752,499217,232141
45.51,-73.69,10,0,130,291,735,297,284,38.2,23552,1468,1854,1969.101336,493209,190866
45.51,-73.7,14,0,134,237,535,242,228,39.1,43072,1611,2289,1995.351617,296445,447057
45.51,-73.71,9,0,118,140,916,374,362,36.2,49536,2470,1908,2002.667049,317216,1343840
45.51,-73.72,5,0,89,117,3653,1484,1348,31.9,67474,2547,1790,2008.215385,383511,19227
45.51,-73.73,11,0,87,129,1564,674,654,36.8,49696,1957,1416,1999.324022,531102,217504
45.51,-73.74,0,0,38,21,1049,362,354,34.1,50560,211,161,2000.954802,368271,382604
45.51,-73.75,0,0,44,49,364,128,126,45.3,46208,344,209,1973.559242,219306,50528
45.51,-73.76,0,0,11,13,452,72,66,63.4,,11,6,1985.166667,4824,997
45.51,-73.77,1,1,17,16,,,,,,481,310,1978.272109,167543,44390
45.51,-73.78,6,0,39,40,,,,,,467,293,1984.366782,260543,40045
45.51,-73.79,4,0,66,58,,,,,,417,636,1962.285223,261169,62632
45.51,-73.8,4,0,43,76,846,323,303,39.6,31712,798,671,1966.985612,431515,123165
45.51,-73.81,6,1,45,144,646,249,240,40.2,30528,1326,1168,1966.79922,548698,454197
45.51,-73.82,18,0,186,258,488,187,181,33.9,26752,733,1738,1970.298951,428479,243701
45.51,-73.83,16,0,87,127,481,158,156,41,30464,1567,1487,1978.746281,581401,152107
45.51,-73.84,8,1,20,68,468,154,154,41.4,36160,1230,972,1967.302825,526226,107066
45.51,-73.85,2,0,22,36,409,151,150,43.8,35456,723,568,1969.459649,411139,79217
45.51,-73.86,2,0,21,18,771,252,243,53,33408,598,330,1993.481707,400537,58495
45.51,-73.87,1,0,10,10,1477,421,418,40,46528,664,338,2001.556213,298380,45440
45.51,-73.9,2,0,8,24,1081,377,366,40.4,42752,374,213,1989.99537,323010,40511
45.51,-73.91,0,0,4,1,,,,,,101,66,1983.212121,164325,48109
45.52,-73.53,2,0,8,34,,,,,,,,,,
45.52,-73.54,0,0,8,3,,,,,,,,,,
45.52,-73.55,25,0,287,871,570,339,289,40.6,36693,1834,3001,1975.606881,176859,361313
45.52,-73.56,79,5,978,2282,559,354,313,36.6,27968,4318,6797,1947.144645,475890,1658830
45.52,-73.57,81,1,845,1493,409,263,243,37.8,32672,4410,7010,1930.284866,427215,2092327
45.52,-73.58,79,2,641,1864,442,251,224,39.3,40704,5505,6825,1927.6708,495345,1836010
45.52,-73.59,47,0,498,980,451,254,213,37.9,31296,3999,5797,1939.69586,426304,1776071
45.52,-73.6,38,1,351,816,712,232,219,30.7,33280,4178,4850,1924.877298,518626,1119751
45.52,-73.61,41,0,411,647,554,244,220,35.9,41344,3940,4470,1931.672811,505049,1510733
45.52,-73.62,10,0,220,314,660,324,306,39.4,43008,2392,2975,1945.00672,348528,1096516
45.52,-73.63,13,0,183,142,602,276,252,37.3,28992,2078,1707,1971.791732,494334,447682
45.52,-73.64,16,0,170,39,617,256,239,39.8,55232,1616,1406,1953.152672,472212,282160
45.52,-73.65,12,0,121,39,510,228,212,45.3,46848,1540,1352,1953.551681,460407,215753
45.52,-73.66,10,0,134,148,522,180,174,38.7,25792,265,593,1963.339181,567233,282905
45.52,-73.67,19,0,177,212,2160,1069,1000,48.6,24576,1107,2962,1986.74638,465855,1953622
45.52,-73.68,12,0,237,277,633,217,214,37.7,38464,1807,2541,1965.631229,492852,289340
45.52,-73.69,27,0,244,348,660,259,225,31,19648,1647,2102,1953.8061,461213,198100
45.52,-73.7,20,0,130,286,538,209,190,37.8,19947,1368,1349,1966.805889,478836,416002
45.52,-73.71,7,1,123,181,3653,1484,1348,31.9,67474,2080,1846,2008.859813,270904,156986
45.52,-73.72,7,0,80,145,863,330,299,39.3,22912,1816,1364,1976.200614,671663,224957
45.52,-73.73,6,0,39,138,387,143,141,45.7,47808,1533,1191,1969.91236,444285,166829
45.52,-73.74,3,0,32,50,703,215,212,39.7,51072,608,335,1984.078078,256189,80165
45.52,-73.81,2,0,5,1,691,274,265,39.2,42048,72,52,1966.788462,45033,9209
45.52,-73.83,0,0,28,7,,,,,,170,274,1994.408759,48690,35624
45.52,-73.86,1,0,5,3,618,238,230,46,46464,59,41,1976.121951,57254,5058
45.52,-73.87,1,0,1,9,,,,,,139,103,1971.813725,114892,11695
45.52,-73.88,0,0,5,1,465,191,180,44.9,39808,74,55,1974.036364,142952,7034
45.52,-73.89,0,0,1,3,,,,,,20,13,1973.846154,116527,3418
45.52,-73.9,0,0,3,0,,,,,,7,4,1998,49747,906
45.53,-73.54,0,1,9,41,,,,,,14,72,1967,2483,4356
45.53,-73.55,35,1,345,771,694,376,336,33.7,24128,2411,4119,1960.126276,410148,616949
45.53,-73.56,57,0,388,1182,871,499,472,38,29792,3993,6136,1948.875344,459238,829465
45.53,-73.57,35,0,453,776,627,385,356,34.9,32352,3284,5237,1936.556537,352862,1581729
45.53,-73.58,49,0,446,1049,422,327,288,38.2,28256,5764,7193,1923.34035,500921,3429133
45.53,-73.59,41,1,449,829,532,328,290,34.6,24480,4353,6684,1970.701603,382785,7030092
45.53,-73.6,34,1,283,868,612,414,379,35.9,33216,2933,4266,1949.450445,440817,895100
45.53,-73.61,41,2,360,695,702,427,385,35.9,26944,3842,4960,1944.925073,465829,2211329
45.53,-73.62,37,0,455,964,1202,737,675,47.7,21230,3511,4481,1970.067768,387086,2744360
45.53,-73.63,42,0,263,732,343,164,145,41.6,19168,3135,5398,1950.782043,403758,452452
45.53,-73.64,35,1,169,640,438,250,216,39.8,20672,2612,4087,1954.584921,488715,367917
45.53,-73.65,19,0,197,473,0,0,0,,,677,1113,1959.6,423193,312278
45.53,-73.66,11,0,129,303,0,0,0,,,105,0,1974.739726,467802,319452
45.53,-73.67,29,0,548,513,647,210,201,38.2,21205,1795,4023,1993.748062,412809,392794
45.53,-73.68,32,0,328,303,901,389,381,36.3,24256,2256,4283,1997.665443,618923,363171
45.53,-73.69,9,0,57,236,646,235,228,41,25664,1468,1903,1962.575274,403776,246072
45.53,-73.7,16,0,152,228,494,177,175,43.4,27424,1633,2540,1960.561285,527342,281951
45.53,-73.71,26,0,378,285,828,65,62,76.9,,1316,2686,1966.261072,526785,247776
45.53,-73.72,26,0,381,439,737,317,293,32.7,21355,1614,3107,1967.304979,510440,367703
45.53,-73.73,6,0,39,53,729,290,270,36.9,37184,536,489,1967.378125,167412,67971
45.53,-73.74,0,0,13,3,,,,,,50,37,1969.314286,29704,9448
45.54,-73.54,39,1,333,1017,727,442,417,38.1,22976,2141,3428,1931.535787,288604,497500
45.54,-73.55,37,0,258,1074,716,444,411,35.9,25216,3418,4610,1952.743304,492398,371779
45.54,-73.56,19,1,314,719,1138,692,581,49.6,30912,2640,4112,1966.02508,516017,405108
45.54,-73.57,24,1,287,506,785,496,431,36.4,23648,3219,4029,1971.179579,366794,1432544
45.54,-73.58,39,0,366,621,590,373,340,35.2,29803,2727,4528,1934.810712,423937,1462874
45.54,-73.59,41,0,255,795,829,529,478,40.8,24144,3751,5236,1966.963134,390022,864042
45.54,-73.6,38,0,289,1070,417,223,212,35.3,31424,4325,6758,1947.829541,540747,1319240
45.54,-73.61,48,0,378,1198,616,338,316,35.1,39936,4082,5507,1937.090443,534774,786766
45.54,-73.62,43,0,347,1010,715,414,397,40.8,24960,5398,7251,1953.803512,474985,2039124
45.54,-73.63,30,0,180,638,499,265,252,39.8,33920,3579,4666,1936.728873,412265,698836
45.54,-73.64,22,0,233,475,668,339,309,40.9,29739,2006,2395,1948.168279,423903,837292
45.54,-73.65,20,0,202,432,462,198,180,42.1,23936,2283,2599,1961.530207,444614,758659
45.54,-73.66,10,1,142,229,448,259,240,39.4,20523,384,357,1958.960396,368563,602536
45.54,-73.67,26,0,231,390,412,223,208,43.2,27680,2412,4287,1978.980947,459181,41447321
45.54,-73.68,12,0,142,176,265,122,113,45.2,22528,1032,1258,1983.607182,323998,592824
45.54,-73.69,11,0,133,221,1245,504,485,45.1,24960,1515,1776,1965.591432,410016,280210
45.54,-73.7,15,0,133,311,508,254,229,42.6,25707,1973,2704,1962.863225,518549,260996
45.54,-73.71,3,0,20,67,709,330,317,42.7,34496,776,611,1960.256674,268544,82789
45.54,-73.72,1,0,18,5,590,270,251,45.3,31680,91,66,1946.689655,44845,9934
45.55,-73.53,15,0,93,375,372,214,196,36.8,24384,851,1264,1926.745152,198221,243470
45.55,-73.54,48,1,432,1541,866,469,429,36.7,33728,3941,5673,1949.028936,446444,1372305
45.55,-73.55,42,1,261,952,477,293,276,43.5,26688,4007,6494,1961.17888,445254,551469
45.55,-73.56,25,2,279,664,448,235,216,45.3,42624,3721,5715,1983.258683,523222,2227989
45.55,-73.57,36,0,257,724,729,440,421,38.4,28907,4170,5985,1966.974878,462894,903566
45.55,-73.58,32,0,311,652,490,278,268,38,33792,4650,6468,1941.051982,558391,526860
45.55,-73.59,28,0,218,745,547,306,288,37.8,38955,3466,4667,1941.800998,480308,519844
45.55,-73.6,32,1,250,870,527,302,278,39.9,35925,3928,5852,1947.995373,520552,516938
45.55,-73.61,35,0,212,753,422,212,201,39.3,21952,3685,5867,1952.5,519244,488032
45.55,-73.62,35,1,231,473,756,404,401,44.3,23328,2493,4769,1966.567194,515244,529979
45.55,-73.63,19,0,231,438,659,344,325,38.5,25248,2988,4144,1967.303932,460917,1273304
45.55,-73.64,14,0,141,471,438,224,208,38.6,35200,2148,3406,1968.204703,462804,435139
45.55,-73.65,15,0,157,355,1052,531,500,38.6,30240,1828,2861,1960.573819,537636,247073
45.55,-73.66,19,0,236,460,511,289,264,43.6,44928,1929,3211,1967.180702,494171,332943
45.55,-73.67,23,2,270,476,388,303,275,40.9,16816,2455,3133,1955.332333,526471,355572
45.55,-73.68,3,1,42,56,,,,,,972,864,1963,235089,1393668
45.55,-73.69,2,0,110,31,,,,,,88,365,1956.931818,65982,27404
45.55,-73.7,2,0,7,11,757,393,379,43.2,40128,102,131,1945.357143,28853,32882
45.56,-73.52,2,0,8,16,,,,,,6,0,1965.857143,48818,12126
45.56,-73.53,27,0,159,385,353,78,63,,,1393,2163,1931.392971,168170,177383
45.56,-73.54,28,0,221,513,859,423,419,38.7,39808,2263,3136,1968.016609,442726,1679039
45.56,-73.55,13,0,157,439,0,4,1,,,947,1555,1989.129853,257217,496146
45.56,-73.56,7,0,84,73,0,0,0,,,409,784,1965.323529,66956,150954
45.56,-73.57,23,1,235,478,0,0,0,,,2537,4294,1955.440975,314757,730661
45.56,-73.58,26,0,328,541,1313,658,637,58.2,25387,2467,4288,1965.83321,386409,4008271
45.56,-73.59,29,1,195,569,518,240,222,38.6,32768,2761,4549,1955.125837,548359,1583324
45.56,-73.6,35,1,179,703,513,246,224,40.9,19302,2925,4416,1962.730241,565621,467569
45.56,-73.61,26,1,187,513,661,238,232,36.6,24384,2028,2590,1954.816308,426014,381811
45.56,-73.62,13,1,92,138,701,282,250,35.1,22352,364,741,1964.595745,224739,62297
45.56,-73.63,7,0,117,132,701,282,250,35.1,22352,623,1245,1984.961003,133890,145854
45.56,-73.64,3,1,96,244,410,162,159,44.2,46720,1065,1500,1968.251592,351357,171433
45.56,-73.65,12,0,73,337,662,298,291,41.7,35968,1793,2386,1964.559375,428969,227596
45.56,-73.66,17,0,155,445,537,292,284,44.3,38528,2746,3521,1953.472471,495160,392962
45.56,-73.67,13,0,115,170,524,255,235,39.3,32960,636,1196,1960.433333,247931,99502
45.57,-73.52,3,0,58,108,835,421,388,38.7,31296,553,640,1958.321168,273469,96839
45.57,-73.53,9,1,77,156,466,237,220,42.9,29888,822,998,1961.957173,312630,99183
45.57,-73.54,19,0,77,369,629,337,324,41.2,32277,1858,2246,1962.534281,518631,331478
45.57,-73.55,11,0,187,320,1207,636,590,66.1,31824,1135,2840,1983.824852,663641,477579
45.57,-73.56,7,0,91,235,2737,1651,1572,56.3,43499,1056,1158,1988.354037,528057,96890
45.57,-73.57,12,0,158,388,658,352,319,40.9,34496,1951,3331,1958.145911,377890,273409
45.57,-73.58,17,0,199,480,833,381,365,40.2,32768,2663,4311,1966.825416,467734,355500
45.57,-73.59,21,0,263,660,618,249,241,41.8,24064,1695,2752,1980.402408,557827,241559
45.57,-73.6,19,0,188,610,676,293,280,37.2,27776,1682,2405,1972.904884,503517,314889
45.57,-73.61,19,0,100,243,535,242,224,39.8,17984,574,836,1962.807339,503295,302574
45.57,-73.62,25,0,92,390,526,182,169,33.9,21141,1696,2365,1962.881449,283966,351094
45.57,-73.63,22,1,134,439,388,153,134,38.2,20992,2489,3310,1963.118256,401647,308265
45.57,-73.64,8,0,70,352,553,306,292,45,23808,2110,2838,1966.56993,322729,366741
45.57,-73.65,17,0,187,501,515,292,264,44.4,36608,2447,3604,1958.882625,518709,752083
45.57,-73.66,13,1,266,311,710,350,319,44.1,20365,1492,2826,1963.77845,395919,359579
45.58,-73.51,1,0,8,54,835,421,388,38.7,31296,50,63,1956.517241,216703,77235
45.58,-73.52,7,0,64,23,466,243,227,41.5,36864,355,387,1953.810078,150135,59735
45.58,-73.53,6,1,122,229,551,296,273,39.6,32192,797,1328,1968.324675,172437,132106
45.58,-73.54,23,2,222,607,559,307,291,38.6,25088,1876,3368,1961.654817,387892,303333
45.58,-73.55,12,0,112,405,555,262,251,39.2,31083,2308,2849,1967.208944,439597,334873
45.58,-73.56,12,0,103,363,512,231,222,44.6,30571,1635,2414,1972.574822,542836,242434
45.58,-73.57,19,0,342,456,497,191,185,52.6,35840,2076,3856,1965.814576,570644,391069
45.58,-73.58,24,1,212,555,470,200,189,44.2,27968,2657,3931,1975.714286,482840,786939
45.58,-73.59,16,0,109,529,543,201,197,42.7,24832,1603,3012,1982.839357,447181,268869
45.58,-73.6,9,0,173,496,587,216,206,40,24555,1901,2745,1975.244995,499495,302475
45.58,-73.61,23,2,219,488,493,193,191,37.9,23136,1869,3651,1969.609603,563595,371417
45.58,-73.62,24,0,138,368,599,240,221,35.1,22288,1833,3177,1967.576792,393582,324643
45.58,-73.63,15,0,68,346,630,253,236,36.7,22187,973,1486,1971.045455,288858,149467
45.58,-73.64,23,1,131,510,495,210,195,40.1,23808,2168,2823,1968.223438,477614,277765
45.58,-73.65,23,1,219,450,543,299,269,37.8,26112,2229,3632,1959.063795,461385,410025
45.58,-73.66,1,0,24,55,482,244,215,42.7,41856,306,478,1964.552632,83824,39881
45.59,-73.51,8,1,111,328,338,176,160,40.4,22464,1493,1944,1966.467925,297075,447529
45.59,-73.52,8,0,44,338,518,304,287,45.7,38123,1593,2050,1968.908163,307263,250135
45.59,-73.53,2,2,54,237,2717,981,974,52,48512,1172,1297,1984.13545,249812,48689
45.59,-73.54,8,1,147,739,566,341,314,51.2,35200,881,1216,1982.72,428919,170044
45.59,-73.55,13,0,96,310,764,447,407,39.6,27264,1403,2028,1971.227979,244498,343705
45.59,-73.56,13,0,74,341,535,286,262,40.9,25920,2226,3203,1977.287259,392883,1406584
45.59,-73.57,7,0,105,423,387,154,153,41.2,28096,1305,2041,1976.726068,489222,273380
45.59,-73.58,21,0,136,447,544,212,205,40.7,24384,1496,2485,1980.206294,504130,331494
45.59,-73.59,12,0,88,285,503,189,180,44.8,33792,1440,1791,1972.132743,464506,202670
45.59,-73.6,3,0,73,277,408,151,150,44.8,40320,1425,1449,1967.863415,525232,165509
45.59,-73.61,10,0,67,330,750,309,301,40.1,24576,1738,2912,1971.750255,508904,276353
45.59,-73.62,10,0,54,223,308,127,122,43,27008,1186,852,1992.956113,528035,153064
45.59,-73.63,23,1,154,585,475,186,178,37.3,20949,1432,1969,1962.806792,516101,254039
45.59,-73.64,32,0,204,666,509,236,207,42,22528,2417,3517,1960.525114,498128,299773
45.59,-73.65,29,0,213,297,429,172,169,47.8,26816,1443,3566,1971.713376,341104,302559
45.6,-73.51,2,0,73,266,593,351,316,40.7,27925,1223,1743,1968.103495,216035,280760
45.6,-73.52,23,1,121,715,637,334,314,42,32128,2613,3422,1956.443182,461717,441436
45.6,-73.53,11,0,170,423,498,259,237,42.6,34880,1837,2449,1959.731745,453825,365104
45.6,-73.54,11,0,77,304,768,304,300,41,41664,1428,1345,1974.634033,396537,254175
45.6,-73.55,21,1,98,329,450,172,167,45.2,43136,1485,2110,1965.925243,563224,238945
45.6,-73.56,12,0,205,300,1306,786,761,53.9,31371,2236,3590,1997.190201,622467,4172503
45.6,-73.57,11,0,112,511,1306,786,761,53.9,31371,964,1786,1980.453287,540481,770948
45.6,-73.58,11,0,136,346,708,309,296,39.4,24768,1002,1359,1979.241814,508067,531997
45.6,-73.59,22,1,104,315,604,254,236,37.3,24256,958,1493,1973.993255,589436,454168
45.6,-73.6,19,0,79,270,730,302,284,38.1,26272,1826,2562,1978.442211,611457,323431
45.6,-73.61,9,0,115,282,751,315,311,40.2,28880,758,878,1976.641544,400167,499674
45.6,-73.62,28,0,182,449,561,235,203,36.9,23509,1440,2140,1967.656827,428957,284373
45.6,-73.63,16,0,123,516,549,244,223,40.6,28416,2523,3243,1959.016393,547058,330436
45.6,-73.64,22,1,279,353,494,218,211,50.6,23915,1603,2867,1966.32854,374605,325684
45.6,-73.65,3,0,1,9,492,280,260,52,44800,53,76,1952.764706,19462,5897
45.61,-73.51,9,1,42,257,586,311,275,40.6,27552,1013,1339,1961.447883,377886,224924
45.61,-73.52,15,1,86,420,501,232,219,40.8,33408,2471,3020,1973.673482,385401,270985
45.61,-73.53,16,0,129,393,568,267,252,42.3,35328,2640,3359,1988.10855,373046,195955
45.61,-73.54,16,0,99,286,339,165,158,42.9,39680,3313,2827,1985.635338,457101,192315
45.61,-73.55,15,2,136,471,960,417,392,40.2,34603,2760,3996,1967.820935,550270,379850
45.61,-73.56,8,1,94,199,435,158,155,41.9,37504,1442,1723,1966.087829,472055,246348
45.61,-73.57,2,0,65,112,864,358,340,43,29472,85,33,1975.650602,529594,180902
45.61,-73.58,5,1,80,218,864,358,340,43,29472,1252,1132,1981.645047,552076,345503
45.61,-73.59,3,0,75,280,1517,628,623,46.3,54363,1088,909,1995.866667,450062,955870
45.61,-73.6,3,0,50,74,1517,628,623,46.3,54363,69,13,1990.338235,398470,84140
45.61,-73.61,23,0,140,280,997,511,470,38.8,19968,1214,2009,1968.432056,385522,209298
45.61,-73.62,16,1,223,810,507,198,185,43.9,23424,2296,3097,1966.355711,473713,336484
45.61,-73.63,14,0,86,333,517,182,181,44.7,34816,1859,1943,1962.026451,532199,200884
45.61,-73.64,5,0,23,132,,,,,,738,951,1957.609813,212748,82947
45.62,-73.51,0,0,1,0,872,409,367,37,27776,2,0,1973.5,75779,18432
45.62,-73.52,0,0,2,5,872,409,367,37,27776,2,0,2012.666667,264474,
45.62,-73.54,0,0,5,6,849,372,365,50,46165,115,63,1993.68254,20878,6734
45.62,-73.55,5,0,53,150,849,372,365,50,46165,954,826,1980.98062,282269,104539
45.62,-73.56,4,0,50,167,864,358,340,43,29472,73,26,1985.948276,552314,71218
45.62,-73.57,9,0,107,95,864,358,340,43,29472,50,0,1976.387097,607222,193118
45.62,-73.58,5,1,51,115,864,358,340,43,29472,42,0,1972.836066,516163,148868
45.62,-73.59,6,0,44,127,1315,457,452,34.3,39979,300,130,2001.956757,448257,186883
45.62,-73.6,10,0,24,117,549,111,107,71.9,,407,299,1986.89911,307969,101449
45.62,-73.61,5,0,181,171,694,336,315,35.2,30784,363,557,1989.97235,238319,125620
45.62,-73.62,67,2,341,871,391,152,136,31.7,22285,2354,5689,1975.53791,509733,445960
45.62,-73.63,9,1,92,297,534,201,201,49.3,26368,1273,1423,1967.840336,417049,158987
45.63,-73.49,3,0,15,49,,,,,,114,180,1948.087719,37874,16419
45.63,-73.5,18,0,95,261,411,188,172,40.5,27840,1242,1583,1966.007712,322058,127312
45.63,-73.51,12,0,27,98,872,409,367,37,27776,358,354,1948.363057,210937,68238
45.63,-73.52,7,0,15,41,619,296,273,39.5,30080,19,12,1976.85,61080,40801
45.63,-73.55,2,0,25,10,619,296,273,39.5,30080,1,0,2001.666667,210777,
45.63,-73.57,2,0,1,31,864,358,340,43,29472,7,0,1991.857143,112606,15716
45.63,-73.58,6,0,30,96,695,223,220,39.7,32384,830,672,1985.98441,812731,205609
45.63,-73.59,9,0,125,337,490,221,212,40.1,25536,1837,1644,1981.507965,513972,219732
45.63,-73.6,12,0,74,321,711,319,305,39.2,26736,2051,2169,1988.737491,556863,544916
45.63,-73.61,6,0,37,154,404,140,134,42.1,25568,1103,1013,1981.188547,297886,236923
45.63,-73.62,11,0,157,154,1272,926,894,77,28208,992,2307,1984.402235,234241,365970
45.64,-73.49,17,3,75,287,364,190,176,47.7,28416,1126,1400,1956.669267,311130,134185
45.64,-73.5,13,1,72,319,561,258,245,40.7,36864,1655,1938,1963.333898,542704,251190
45.64,-73.51,8,2,69,163,606,242,232,41.3,36608,997,1090,1967.276812,433348,151805
45.64,-73.52,5,0,17,52,702,162,158,56.7,42304,12,0,1994.1875,92659,14570
45.64,-73.53,0,0,4,0,619,296,273,39.5,30080,1,0,2004,199797,
45.64,-73.54,1,0,17,15,619,296,273,39.5,30080,13,0,1979.615385,133329,4231
45.64,-73.55,2,0,1,34,619,296,273,39.5,30080,13,1,1981.769231,101931,3400
45.64,-73.56,4,1,19,76,646,301,276,45.6,27840,57,1,1985.072464,284556,61805
45.64,-73.57,13,0,52,110,695,223,220,39.7,32384,798,637,1987.614679,388563,143140
45.64,-73.58,6,0,59,211,648,252,251,45.7,28608,2475,2051,1988.816911,604250,714739
45.64,-73.59,13,0,71,258,484,175,175,41.2,28416,1990,1729,1978.271318,513156,205847
45.64,-73.6,7,0,70,155,660,190,179,30,27264,907,1106,1978.306916,363038,149508
45.64,-73.61,1,0,8,22,,,,,,158,205,1985.358696,75944,22504
45.65,-73.49,20,0,157,288,589,341,305,40.4,24096,630,1877,1974.357942,355371,183795
45.65,-73.5,2,0,78,212,407,160,157,44.4,40448,1425,1727,1976.880855,578514,278783
45.65,-73.51,5,0,62,282,589,333,332,49.3,36122,1436,1469,1976.45614,505966,374192
45.65,-73.52,5,0,82,84,702,162,158,56.7,42304,41,0,1987.725191,721357,200905
45.65,-73.53,2,0,25,26,702,162,158,56.7,42304,4,0,2004.5,124060,2528
45.65,-73.54,1,0,25,10,702,162,158,56.7,42304,15,0,1990.916667,152685,14015
45.65,-73.55,0,0,0,33,1371,294,289,35,39552,30,11,1991.15625,116731,9787
45.65,-73.56,7,0,51,161,1371,294,289,35,39552,593,394,1985.073986,277021,74101
45.65,-73.57,13,0,50,139,531,189,186,41.7,29760,1634,1381,1988.784062,525363,211444
45.65,-73.58,5,0,81,193,602,227,221,43.4,30016,1628,1551,1984.18515,491097,414220
45.65,-73.59,1,0,20,75,,,,,,697,522,1979.192678,278918,72222
