Latitude,Longitude,Sum_INCENDIE_count,Sum_Infractions_entrainant_count,Sum_ALARMES_INCENDIES_count,Sum_total_crimes,Population,Dwellings,Households,Average age,median income,sum_etage_hors_sol,sum_nombre_logement,avg_annee_construction,sum_superficie_terrain,sum_superficie_batiment
45.44,-73.7,14,0,100,184,428,211,192,41.5,32320,2065,2141,1962.407437,503621,346485
45.44,-73.71,4,0,45,135,624,272,254,42.1,46336,1579,1152,1955.115801,492380,149840
45.44,-73.72,4,0,38,94,623,239,236,45.4,46208,845,557,1963.906489,339518,76833
45.44,-73.73,6,0,50,85,884,478,452,49.5,40704,819,804,1955.777595,477322,127358
45.44,-73.74,9,0,216,285,1224,716,678,43,29984,951,1858,1979.955128,356316,437774
45.44,-73.75,5,0,39,66,450,181,169,45.3,39680,714,498,1965.973034,350059,81056
45.44,-73.76,1,0,34,43,540,188,187,43,38758,463,336,1956.85061,274011,62614
45.44,-73.77,1,0,28,38,,,,,,542,403,1956.785,286339,57411
45.44,-73.78,0,0,1,6,,,,,,32,22,1958.52381,18082,3654
45.44,-73.8,1,0,7,32,,,,,,246,158,1954.694268,131553,25286
45.44,-73.81,1,0,53,55,712,267,259,42.8,42624,1008,660,1956.868182,524217,106170
45.44,-73.82,3,0,53,87,402,148,146,42.6,52864,1079,713,1965.3808,462971,105496
45.44,-73.83,2,0,32,29,637,237,236,44.4,47829,721,419,1982.862661,241277,67992
45.44,-73.84,3,0,24,37,561,238,227,41.2,43392,885,594,1973.979127,553540,223801
45.44,-73.85,0,0,46,70,441,156,156,43.2,48832,1050,713,1968.440393,540873,122981
45.44,-73.86,2,0,23,27,452,149,149,39.4,51328,1178,720,1965.461219,599862,135581
45.44,-73.87,4,0,34,61,526,172,172,39.7,55232,1399,742,1977.164021,598680,168718
45.44,-73.88,0,0,49,50,836,291,288,38.7,45056,1001,518,1980.41635,546379,155556
45.44,-73.89,2,0,23,107,716,204,200,37.5,47360,615,318,2001.109034,378764,64641
45.44,-73.9,2,0,19,44,440,150,147,41,44992,1102,584,1985.625862,403840,123241
45.44,-73.92,2,0,6,7,1133,347,335,37.3,51541,191,100,1995.696078,73947,19203
45.44,-73.93,0,0,6,20,455,147,147,37.8,43904,565,344,1990.912536,211786,70226
45.44,-73.96,1,0,5,4,467,203,181,46.6,49664,45,34,1929.111111,366578,7134
45.44,-73.97,0,0,20,8,,,,,,23,17,1958.857143,192823,7989
45.45,-73.54,0,1,0,13,,,,,,,,,,
45.45,-73.55,8,0,194,130,4669,2277,2111,45.3,51456,1666,1450,2003.953488,424515,125726
45.45,-73.56,3,0,19,35,4669,2277,2111,45.3,51456,502,520,2011.276364,64971,
45.45,-73.57,24,1,184,464,552,266,256,40,39680,2464,3569,1937.563934,332215,358637
45.45,-73.58,18,0,139,426,557,254,246,39.7,41344,3369,4416,1945.353864,481048,385943
45.45,-73.59,12,0,102,327,667,342,320,41,27360,2518,3423,1953.615332,396688,423018
45.45,-73.6,13,0,127,439,624,316,311,43.4,28544,3077,3749,1957.145551,1428103,352418
45.45,-73.61,9,0,149,255,524,209,195,39.5,27051,1771,2337,2010.820404,262268,2166573
45.45,-73.62,1,0,53,10,524,209,195,39.5,27051,5,0,1993.6,78909,6427
45.45,-73.63,4,0,44,58,5,6,5,,,24,32,1981.666667,229742,44334
45.45,-73.64,14,0,154,246,542,229,201,40.8,42624,1028,1626,1951.689908,326121,175792
45.45,-73.65,12,0,135,280,1016,383,367,40.7,45440,2393,2013,1947.278974,453733,251691
45.45,-73.66,5,0,37,87,1295,552,517,35.5,34261,354,305,1965.835821,411860,146013
45.45,-73.67,1,0,6,25,562,283,261,37.3,28864,393,478,1969.478764,458742,43343
45.45,-73.68,21,0,198,217,549,277,237,34.5,21611,253,1006,1958.773913,889955,99112
45.45,-73.69,3,0,13,25,549,277,237,34.5,21611,932,627,1989.049896,124998,207218
45.45,-73.7,5,0,34,34,549,277,237,34.5,21611,767,474,1972.016667,403926,166267
45.45,-73.71,1,0,63,44,549,277,237,34.5,21611,609,308,1954.588608,374140,97076
45.45,-73.72,11,0,119,160,549,277,237,34.5,21611,794,1141,1974.44246,525057,192618
45.45,-73.73,3,0,81,163,511,215,209,41.2,36832,823,697,1995.277592,643634,138744
45.45,-73.74,2,0,71,275,511,215,209,41.2,36832,210,357,1966.068376,310150,112470
45.45,-73.75,2,0,54,189,511,215,209,41.2,36832,304,273,1963.713514,170072,47958
45.45,-73.76,2,0,36,87,511,215,209,41.2,36832,629,539,1961.746835,421544,128343
45.45,-73.77,4,0,34,67,570,229,219,37.8,30976,1008,954,1956.853147,508420,109640
45.45,-73.78,6,1,61,102,536,186,183,40.5,32448,1238,1052,1975.267463,424938,119177
45.45,-73.79,5,0,44,76,592,227,220,39.2,32960,734,727,1963.055215,288817,112880
45.45,-73.8,6,0,28,130,514,190,188,41.9,42112,932,834,1956.18241,447096,91218
45.45,-73.81,3,0,64,27,958,672,647,62,27520,448,716,1978.766667,301565,64561
45.45,-73.82,9,0,91,105,434,249,230,35.1,25152,741,757,1962.113725,441993,125060
45.45,-73.83,5,0,81,112,484,176,173,42.4,42112,1199,1073,1973.655415,525502,120728
45.45,-73.84,8,0,164,100,383,129,129,42.9,45824,1269,775,1980.567449,459524,158459
45.45,-73.85,2,0,73,61,849,360,351,43.1,34091,720,361,1985.198939,447222,100483
45.45,-73.86,1,0,58,100,699,389,361,51.4,35808,959,676,1978.108239,337005,205839
45.45,-73.87,4,0,23,44,390,133,133,43.1,40832,962,588,1978.556876,426295,126979
45.45,-73.88,6,0,51,52,795,257,255,39.8,36992,1557,847,1987.141176,590116,192572
45.45,-73.89,3,0,35,66,227,67,67,35.6,,1765,889,1995.085297,537227,190082
45.45,-73.9,0,0,8,23,3566,1181,1142,35.2,40320,385,205,1986.678049,133080,44286
